Tên cảm biến,Giá trị,Thời gian
Noise,83.34,2025-04-25 05:38:00
eTVOC,181,2025-04-25 05:38:00
eCO2,1514,2025-04-25 05:38:00
DiscomfortIndex,83.42,2025-04-25 05:38:00
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:00
temperature,26.05,2025-04-25 05:38:01
Humidity,52.7,2025-04-25 05:38:01
Illuminance,255,2025-04-25 05:38:01
AtmosphericPressure,1009.108,2025-04-25 05:38:01
Noise,61.59,2025-04-25 05:38:01
eTVOC,182,2025-04-25 05:38:01
eCO2,1516,2025-04-25 05:38:01
DiscomfortIndex,83.42,2025-04-25 05:38:01
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:01
temperature,26.05,2025-04-25 05:38:02
Humidity,52.7,2025-04-25 05:38:02
Illuminance,255,2025-04-25 05:38:02
AtmosphericPressure,1009.108,2025-04-25 05:38:02
Noise,61.59,2025-04-25 05:38:02
eTVOC,182,2025-04-25 05:38:02
eCO2,1516,2025-04-25 05:38:02
DiscomfortIndex,83.42,2025-04-25 05:38:02
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:02
temperature,26.05,2025-04-25 05:38:03
Humidity,52.7,2025-04-25 05:38:03
Illuminance,255,2025-04-25 05:38:03
AtmosphericPressure,1009.108,2025-04-25 05:38:03
Noise,61.59,2025-04-25 05:38:03
eTVOC,182,2025-04-25 05:38:03
eCO2,1516,2025-04-25 05:38:03
DiscomfortIndex,83.42,2025-04-25 05:38:03
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:03
temperature,26.03,2025-04-25 05:38:04
Humidity,52.7,2025-04-25 05:38:04
Illuminance,258,2025-04-25 05:38:04
AtmosphericPressure,1009.118,2025-04-25 05:38:04
Noise,69.45,2025-04-25 05:38:04
eTVOC,181,2025-04-25 05:38:04
eCO2,1514,2025-04-25 05:38:04
DiscomfortIndex,83.42,2025-04-25 05:38:04
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:04
temperature,26.03,2025-04-25 05:38:05
Humidity,52.7,2025-04-25 05:38:05
Illuminance,258,2025-04-25 05:38:05
AtmosphericPressure,1009.118,2025-04-25 05:38:05
Noise,69.45,2025-04-25 05:38:05
eTVOC,181,2025-04-25 05:38:05
eCO2,1514,2025-04-25 05:38:05
DiscomfortIndex,83.42,2025-04-25 05:38:05
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:05
temperature,26.03,2025-04-25 05:38:06
Humidity,52.7,2025-04-25 05:38:06
Illuminance,258,2025-04-25 05:38:06
AtmosphericPressure,1009.118,2025-04-25 05:38:06
Noise,69.45,2025-04-25 05:38:06
eTVOC,181,2025-04-25 05:38:06
eCO2,1514,2025-04-25 05:38:06
DiscomfortIndex,83.42,2025-04-25 05:38:06
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:06
temperature,26.09,2025-04-25 05:38:07
Humidity,52.58,2025-04-25 05:38:07
Illuminance,255,2025-04-25 05:38:07
AtmosphericPressure,1009.114,2025-04-25 05:38:07
Noise,71.29,2025-04-25 05:38:07
eTVOC,178,2025-04-25 05:38:07
eCO2,1511,2025-04-25 05:38:07
DiscomfortIndex,83.46,2025-04-25 05:38:07
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:07
temperature,26.09,2025-04-25 05:38:08
Humidity,52.58,2025-04-25 05:38:08
Illuminance,255,2025-04-25 05:38:08
AtmosphericPressure,1009.114,2025-04-25 05:38:08
Noise,71.29,2025-04-25 05:38:08
eTVOC,178,2025-04-25 05:38:08
eCO2,1511,2025-04-25 05:38:08
DiscomfortIndex,83.46,2025-04-25 05:38:08
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:08
temperature,26.09,2025-04-25 05:38:09
Humidity,52.58,2025-04-25 05:38:09
Illuminance,255,2025-04-25 05:38:09
AtmosphericPressure,1009.114,2025-04-25 05:38:09
Noise,71.29,2025-04-25 05:38:09
eTVOC,178,2025-04-25 05:38:09
eCO2,1511,2025-04-25 05:38:09
DiscomfortIndex,83.46,2025-04-25 05:38:09
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:09
temperature,26.09,2025-04-25 05:38:10
Humidity,52.58,2025-04-25 05:38:10
Illuminance,255,2025-04-25 05:38:10
AtmosphericPressure,1009.109,2025-04-25 05:38:10
Noise,72.56,2025-04-25 05:38:10
eTVOC,181,2025-04-25 05:38:10
eCO2,1514,2025-04-25 05:38:10
DiscomfortIndex,83.45,2025-04-25 05:38:10
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:10
temperature,26.09,2025-04-25 05:38:11
Humidity,52.58,2025-04-25 05:38:11
Illuminance,255,2025-04-25 05:38:11
AtmosphericPressure,1009.109,2025-04-25 05:38:11
Noise,72.56,2025-04-25 05:38:11
eTVOC,181,2025-04-25 05:38:11
eCO2,1514,2025-04-25 05:38:11
DiscomfortIndex,83.45,2025-04-25 05:38:11
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:11
temperature,26.09,2025-04-25 05:38:12
Humidity,52.58,2025-04-25 05:38:12
Illuminance,255,2025-04-25 05:38:12
AtmosphericPressure,1009.109,2025-04-25 05:38:12
Noise,72.56,2025-04-25 05:38:12
eTVOC,181,2025-04-25 05:38:12
eCO2,1514,2025-04-25 05:38:12
DiscomfortIndex,83.45,2025-04-25 05:38:12
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:12
temperature,26.07,2025-04-25 05:38:13
Humidity,52.66,2025-04-25 05:38:13
Illuminance,255,2025-04-25 05:38:13
AtmosphericPressure,1009.106,2025-04-25 05:38:13
Noise,75.47,2025-04-25 05:38:13
eTVOC,181,2025-04-25 05:38:13
eCO2,1514,2025-04-25 05:38:13
DiscomfortIndex,83.43,2025-04-25 05:38:13
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:13
temperature,26.07,2025-04-25 05:38:14
Humidity,52.66,2025-04-25 05:38:14
Illuminance,255,2025-04-25 05:38:14
AtmosphericPressure,1009.106,2025-04-25 05:38:14
Noise,75.47,2025-04-25 05:38:14
eTVOC,181,2025-04-25 05:38:14
eCO2,1514,2025-04-25 05:38:14
DiscomfortIndex,83.43,2025-04-25 05:38:14
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:14
temperature,26.07,2025-04-25 05:38:15
Humidity,52.66,2025-04-25 05:38:15
Illuminance,255,2025-04-25 05:38:15
AtmosphericPressure,1009.106,2025-04-25 05:38:15
Noise,75.47,2025-04-25 05:38:15
eTVOC,181,2025-04-25 05:38:15
eCO2,1514,2025-04-25 05:38:15
DiscomfortIndex,83.43,2025-04-25 05:38:15
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:15
temperature,26.03,2025-04-25 05:38:16
Humidity,52.72,2025-04-25 05:38:16
Illuminance,265,2025-04-25 05:38:16
AtmosphericPressure,1009.103,2025-04-25 05:38:16
Noise,75.15,2025-04-25 05:38:16
eTVOC,178,2025-04-25 05:38:16
eCO2,1511,2025-04-25 05:38:16
DiscomfortIndex,83.43,2025-04-25 05:38:16
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:16
temperature,26.03,2025-04-25 05:38:17
Humidity,52.72,2025-04-25 05:38:17
Illuminance,265,2025-04-25 05:38:17
AtmosphericPressure,1009.103,2025-04-25 05:38:17
Noise,75.15,2025-04-25 05:38:17
eTVOC,178,2025-04-25 05:38:17
eCO2,1511,2025-04-25 05:38:17
DiscomfortIndex,83.43,2025-04-25 05:38:17
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:17
temperature,26.03,2025-04-25 05:38:18
Humidity,52.72,2025-04-25 05:38:18
Illuminance,265,2025-04-25 05:38:18
AtmosphericPressure,1009.103,2025-04-25 05:38:18
Noise,75.15,2025-04-25 05:38:18
eTVOC,178,2025-04-25 05:38:18
eCO2,1511,2025-04-25 05:38:18
DiscomfortIndex,83.43,2025-04-25 05:38:18
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:18
temperature,26.06,2025-04-25 05:38:19
Humidity,52.7,2025-04-25 05:38:19
Illuminance,267,2025-04-25 05:38:19
AtmosphericPressure,1009.098,2025-04-25 05:38:19
Noise,71.65,2025-04-25 05:38:19
eTVOC,181,2025-04-25 05:38:19
eCO2,1514,2025-04-25 05:38:19
DiscomfortIndex,83.46,2025-04-25 05:38:19
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:19
temperature,26.06,2025-04-25 05:38:20
Humidity,52.7,2025-04-25 05:38:20
Illuminance,267,2025-04-25 05:38:20
AtmosphericPressure,1009.098,2025-04-25 05:38:20
Noise,71.65,2025-04-25 05:38:20
eTVOC,181,2025-04-25 05:38:20
eCO2,1514,2025-04-25 05:38:20
DiscomfortIndex,83.46,2025-04-25 05:38:20
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:20
temperature,26.06,2025-04-25 05:38:21
Humidity,52.7,2025-04-25 05:38:21
Illuminance,267,2025-04-25 05:38:21
AtmosphericPressure,1009.098,2025-04-25 05:38:21
Noise,71.65,2025-04-25 05:38:21
eTVOC,181,2025-04-25 05:38:21
eCO2,1514,2025-04-25 05:38:21
DiscomfortIndex,83.46,2025-04-25 05:38:21
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:21
temperature,26.07,2025-04-25 05:38:22
Humidity,52.73,2025-04-25 05:38:22
Illuminance,267,2025-04-25 05:38:22
AtmosphericPressure,1009.096,2025-04-25 05:38:22
Noise,78.26,2025-04-25 05:38:22
eTVOC,181,2025-04-25 05:38:22
eCO2,1514,2025-04-25 05:38:22
DiscomfortIndex,83.45,2025-04-25 05:38:22
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:22
temperature,26.07,2025-04-25 05:38:23
Humidity,52.73,2025-04-25 05:38:23
Illuminance,267,2025-04-25 05:38:23
AtmosphericPressure,1009.096,2025-04-25 05:38:23
Noise,78.26,2025-04-25 05:38:23
eTVOC,181,2025-04-25 05:38:23
eCO2,1514,2025-04-25 05:38:23
DiscomfortIndex,83.45,2025-04-25 05:38:23
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:23
temperature,26.07,2025-04-25 05:38:24
Humidity,52.73,2025-04-25 05:38:24
Illuminance,267,2025-04-25 05:38:24
AtmosphericPressure,1009.096,2025-04-25 05:38:24
Noise,78.26,2025-04-25 05:38:24
eTVOC,181,2025-04-25 05:38:24
eCO2,1514,2025-04-25 05:38:24
DiscomfortIndex,83.45,2025-04-25 05:38:24
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:24
temperature,26.06,2025-04-25 05:38:25
Humidity,52.79,2025-04-25 05:38:25
Illuminance,265,2025-04-25 05:38:25
AtmosphericPressure,1009.094,2025-04-25 05:38:25
Noise,65.23,2025-04-25 05:38:25
eTVOC,181,2025-04-25 05:38:25
eCO2,1514,2025-04-25 05:38:25
DiscomfortIndex,83.48,2025-04-25 05:38:25
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:25
temperature,26.06,2025-04-25 05:38:26
Humidity,52.79,2025-04-25 05:38:26
Illuminance,265,2025-04-25 05:38:26
AtmosphericPressure,1009.094,2025-04-25 05:38:26
Noise,65.23,2025-04-25 05:38:26
eTVOC,181,2025-04-25 05:38:26
eCO2,1514,2025-04-25 05:38:26
DiscomfortIndex,83.48,2025-04-25 05:38:26
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:26
temperature,26.06,2025-04-25 05:38:27
Humidity,52.79,2025-04-25 05:38:27
Illuminance,265,2025-04-25 05:38:27
AtmosphericPressure,1009.094,2025-04-25 05:38:27
Noise,65.23,2025-04-25 05:38:27
eTVOC,181,2025-04-25 05:38:27
eCO2,1514,2025-04-25 05:38:27
DiscomfortIndex,83.48,2025-04-25 05:38:27
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:27
temperature,26.07,2025-04-25 05:38:28
Humidity,52.79,2025-04-25 05:38:28
Illuminance,265,2025-04-25 05:38:28
AtmosphericPressure,1009.091,2025-04-25 05:38:28
Noise,74.6,2025-04-25 05:38:28
eTVOC,178,2025-04-25 05:38:28
eCO2,1509,2025-04-25 05:38:28
DiscomfortIndex,83.47,2025-04-25 05:38:28
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:28
temperature,26.07,2025-04-25 05:38:29
Humidity,52.79,2025-04-25 05:38:29
Illuminance,265,2025-04-25 05:38:29
AtmosphericPressure,1009.091,2025-04-25 05:38:29
Noise,74.6,2025-04-25 05:38:29
eTVOC,178,2025-04-25 05:38:29
eCO2,1509,2025-04-25 05:38:29
DiscomfortIndex,83.47,2025-04-25 05:38:29
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:29
temperature,26.07,2025-04-25 05:38:30
Humidity,52.79,2025-04-25 05:38:30
Illuminance,265,2025-04-25 05:38:30
AtmosphericPressure,1009.091,2025-04-25 05:38:30
Noise,74.6,2025-04-25 05:38:30
eTVOC,178,2025-04-25 05:38:30
eCO2,1509,2025-04-25 05:38:30
DiscomfortIndex,83.47,2025-04-25 05:38:30
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:30
temperature,26.09,2025-04-25 05:38:31
Humidity,52.75,2025-04-25 05:38:31
Illuminance,265,2025-04-25 05:38:31
AtmosphericPressure,1009.088,2025-04-25 05:38:31
Noise,63.03,2025-04-25 05:38:31
eTVOC,181,2025-04-25 05:38:31
eCO2,1514,2025-04-25 05:38:31
DiscomfortIndex,83.49,2025-04-25 05:38:31
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:31
temperature,26.09,2025-04-25 05:38:32
Humidity,52.75,2025-04-25 05:38:32
Illuminance,265,2025-04-25 05:38:32
AtmosphericPressure,1009.088,2025-04-25 05:38:32
Noise,63.03,2025-04-25 05:38:32
eTVOC,181,2025-04-25 05:38:32
eCO2,1514,2025-04-25 05:38:32
DiscomfortIndex,83.49,2025-04-25 05:38:32
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:32
temperature,26.09,2025-04-25 05:38:33
Humidity,52.75,2025-04-25 05:38:33
Illuminance,265,2025-04-25 05:38:33
AtmosphericPressure,1009.088,2025-04-25 05:38:33
Noise,63.03,2025-04-25 05:38:33
eTVOC,181,2025-04-25 05:38:33
eCO2,1514,2025-04-25 05:38:33
DiscomfortIndex,83.49,2025-04-25 05:38:33
HeatstrokeRiskLevel,28.45,2025-04-25 05:38:33
temperature,26.09,2025-04-25 05:38:34
Humidity,52.66,2025-04-25 05:38:34
Illuminance,255,2025-04-25 05:38:34
AtmosphericPressure,1009.091,2025-04-25 05:38:34
Noise,59.32,2025-04-25 05:38:34
eTVOC,181,2025-04-25 05:38:34
eCO2,1514,2025-04-25 05:38:34
DiscomfortIndex,83.45,2025-04-25 05:38:34
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:34
temperature,26.09,2025-04-25 05:38:35
Humidity,52.66,2025-04-25 05:38:35
Illuminance,255,2025-04-25 05:38:35
AtmosphericPressure,1009.091,2025-04-25 05:38:35
Noise,59.32,2025-04-25 05:38:35
eTVOC,181,2025-04-25 05:38:35
eCO2,1514,2025-04-25 05:38:35
DiscomfortIndex,83.45,2025-04-25 05:38:35
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:35
temperature,26.09,2025-04-25 05:38:36
Humidity,52.66,2025-04-25 05:38:36
Illuminance,255,2025-04-25 05:38:36
AtmosphericPressure,1009.091,2025-04-25 05:38:36
Noise,59.32,2025-04-25 05:38:36
eTVOC,181,2025-04-25 05:38:36
eCO2,1514,2025-04-25 05:38:36
DiscomfortIndex,83.45,2025-04-25 05:38:36
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:36
temperature,26.05,2025-04-25 05:38:37
Humidity,52.69,2025-04-25 05:38:37
Illuminance,255,2025-04-25 05:38:37
AtmosphericPressure,1009.098,2025-04-25 05:38:37
Noise,51.71,2025-04-25 05:38:37
eTVOC,178,2025-04-25 05:38:37
eCO2,1511,2025-04-25 05:38:37
DiscomfortIndex,83.45,2025-04-25 05:38:37
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:37
temperature,26.05,2025-04-25 05:38:38
Humidity,52.69,2025-04-25 05:38:38
Illuminance,255,2025-04-25 05:38:38
AtmosphericPressure,1009.098,2025-04-25 05:38:38
Noise,51.71,2025-04-25 05:38:38
eTVOC,178,2025-04-25 05:38:38
eCO2,1511,2025-04-25 05:38:38
DiscomfortIndex,83.45,2025-04-25 05:38:38
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:38
temperature,26.05,2025-04-25 05:38:39
Humidity,52.69,2025-04-25 05:38:39
Illuminance,255,2025-04-25 05:38:39
AtmosphericPressure,1009.098,2025-04-25 05:38:39
Noise,51.71,2025-04-25 05:38:39
eTVOC,178,2025-04-25 05:38:39
eCO2,1511,2025-04-25 05:38:39
DiscomfortIndex,83.45,2025-04-25 05:38:39
HeatstrokeRiskLevel,28.44,2025-04-25 05:38:39
temperature,26.04,2025-04-25 05:38:40
Humidity,52.65,2025-04-25 05:38:40
Illuminance,258,2025-04-25 05:38:40
AtmosphericPressure,1009.098,2025-04-25 05:38:40
Noise,52.35,2025-04-25 05:38:40
eTVOC,182,2025-04-25 05:38:40
eCO2,1516,2025-04-25 05:38:40
DiscomfortIndex,83.43,2025-04-25 05:38:40
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:40
temperature,26.04,2025-04-25 05:38:41
Humidity,52.65,2025-04-25 05:38:41
Illuminance,258,2025-04-25 05:38:41
AtmosphericPressure,1009.098,2025-04-25 05:38:41
Noise,52.35,2025-04-25 05:38:41
eTVOC,182,2025-04-25 05:38:41
eCO2,1516,2025-04-25 05:38:41
DiscomfortIndex,83.43,2025-04-25 05:38:41
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:41
temperature,26.04,2025-04-25 05:38:42
Humidity,52.65,2025-04-25 05:38:42
Illuminance,258,2025-04-25 05:38:42
AtmosphericPressure,1009.098,2025-04-25 05:38:42
Noise,52.35,2025-04-25 05:38:42
eTVOC,182,2025-04-25 05:38:42
eCO2,1516,2025-04-25 05:38:42
DiscomfortIndex,83.43,2025-04-25 05:38:42
HeatstrokeRiskLevel,28.42,2025-04-25 05:38:42
temperature,26.03,2025-04-25 05:38:43
Humidity,52.69,2025-04-25 05:38:43
Illuminance,260,2025-04-25 05:38:43
AtmosphericPressure,1009.089,2025-04-25 05:38:43
Noise,66.75,2025-04-25 05:38:43
eTVOC,182,2025-04-25 05:38:43
eCO2,1516,2025-04-25 05:38:43
DiscomfortIndex,83.42,2025-04-25 05:38:43
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:43
temperature,26.03,2025-04-25 05:38:44
Humidity,52.69,2025-04-25 05:38:44
Illuminance,260,2025-04-25 05:38:44
AtmosphericPressure,1009.089,2025-04-25 05:38:44
Noise,66.75,2025-04-25 05:38:44
eTVOC,182,2025-04-25 05:38:44
eCO2,1516,2025-04-25 05:38:44
DiscomfortIndex,83.42,2025-04-25 05:38:44
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:44
temperature,26.03,2025-04-25 05:38:45
Humidity,52.69,2025-04-25 05:38:45
Illuminance,260,2025-04-25 05:38:45
AtmosphericPressure,1009.089,2025-04-25 05:38:45
Noise,66.75,2025-04-25 05:38:45
eTVOC,182,2025-04-25 05:38:45
eCO2,1516,2025-04-25 05:38:45
DiscomfortIndex,83.42,2025-04-25 05:38:45
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:45
temperature,26.04,2025-04-25 05:38:46
Humidity,52.63,2025-04-25 05:38:46
Illuminance,262,2025-04-25 05:38:46
AtmosphericPressure,1009.09,2025-04-25 05:38:46
Noise,60.91,2025-04-25 05:38:46
eTVOC,181,2025-04-25 05:38:46
eCO2,1514,2025-04-25 05:38:46
DiscomfortIndex,83.42,2025-04-25 05:38:46
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:46
temperature,26.04,2025-04-25 05:38:47
Humidity,52.63,2025-04-25 05:38:47
Illuminance,262,2025-04-25 05:38:47
AtmosphericPressure,1009.09,2025-04-25 05:38:47
Noise,60.91,2025-04-25 05:38:47
eTVOC,181,2025-04-25 05:38:47
eCO2,1514,2025-04-25 05:38:47
DiscomfortIndex,83.42,2025-04-25 05:38:47
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:47
temperature,26.04,2025-04-25 05:38:48
Humidity,52.63,2025-04-25 05:38:48
Illuminance,262,2025-04-25 05:38:48
AtmosphericPressure,1009.09,2025-04-25 05:38:48
Noise,60.91,2025-04-25 05:38:48
eTVOC,181,2025-04-25 05:38:48
eCO2,1514,2025-04-25 05:38:48
DiscomfortIndex,83.42,2025-04-25 05:38:48
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:48
temperature,26.01,2025-04-25 05:38:49
Humidity,52.71,2025-04-25 05:38:49
Illuminance,260,2025-04-25 05:38:49
AtmosphericPressure,1009.091,2025-04-25 05:38:49
Noise,65.37,2025-04-25 05:38:49
eTVOC,181,2025-04-25 05:38:49
eCO2,1514,2025-04-25 05:38:49
DiscomfortIndex,83.41,2025-04-25 05:38:49
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:49
temperature,26.01,2025-04-25 05:38:50
Humidity,52.71,2025-04-25 05:38:50
Illuminance,260,2025-04-25 05:38:50
AtmosphericPressure,1009.091,2025-04-25 05:38:50
Noise,65.37,2025-04-25 05:38:50
eTVOC,181,2025-04-25 05:38:50
eCO2,1514,2025-04-25 05:38:50
DiscomfortIndex,83.41,2025-04-25 05:38:50
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:50
temperature,26.01,2025-04-25 05:38:51
Humidity,52.71,2025-04-25 05:38:51
Illuminance,260,2025-04-25 05:38:51
AtmosphericPressure,1009.091,2025-04-25 05:38:51
Noise,65.37,2025-04-25 05:38:51
eTVOC,181,2025-04-25 05:38:51
eCO2,1514,2025-04-25 05:38:51
DiscomfortIndex,83.41,2025-04-25 05:38:51
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:51
temperature,25.96,2025-04-25 05:38:52
Humidity,52.84,2025-04-25 05:38:52
Illuminance,262,2025-04-25 05:38:52
AtmosphericPressure,1009.09,2025-04-25 05:38:52
Noise,65.3,2025-04-25 05:38:52
eTVOC,178,2025-04-25 05:38:52
eCO2,1511,2025-04-25 05:38:52
DiscomfortIndex,83.39,2025-04-25 05:38:52
HeatstrokeRiskLevel,28.39,2025-04-25 05:38:52
temperature,25.96,2025-04-25 05:38:53
Humidity,52.84,2025-04-25 05:38:53
Illuminance,262,2025-04-25 05:38:53
AtmosphericPressure,1009.09,2025-04-25 05:38:53
Noise,65.3,2025-04-25 05:38:53
eTVOC,178,2025-04-25 05:38:53
eCO2,1511,2025-04-25 05:38:53
DiscomfortIndex,83.39,2025-04-25 05:38:53
HeatstrokeRiskLevel,28.39,2025-04-25 05:38:53
temperature,25.96,2025-04-25 05:38:54
Humidity,52.84,2025-04-25 05:38:54
Illuminance,262,2025-04-25 05:38:54
AtmosphericPressure,1009.09,2025-04-25 05:38:54
Noise,65.3,2025-04-25 05:38:54
eTVOC,178,2025-04-25 05:38:54
eCO2,1511,2025-04-25 05:38:54
DiscomfortIndex,83.39,2025-04-25 05:38:54
HeatstrokeRiskLevel,28.39,2025-04-25 05:38:54
temperature,25.96,2025-04-25 05:38:55
Humidity,52.83,2025-04-25 05:38:55
Illuminance,258,2025-04-25 05:38:55
AtmosphericPressure,1009.092,2025-04-25 05:38:55
Noise,54.64,2025-04-25 05:38:55
eTVOC,178,2025-04-25 05:38:55
eCO2,1509,2025-04-25 05:38:55
DiscomfortIndex,83.41,2025-04-25 05:38:55
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:55
temperature,25.96,2025-04-25 05:38:56
Humidity,52.83,2025-04-25 05:38:56
Illuminance,258,2025-04-25 05:38:56
AtmosphericPressure,1009.092,2025-04-25 05:38:56
Noise,54.64,2025-04-25 05:38:56
eTVOC,178,2025-04-25 05:38:56
eCO2,1509,2025-04-25 05:38:56
DiscomfortIndex,83.41,2025-04-25 05:38:56
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:56
temperature,25.96,2025-04-25 05:38:57
Humidity,52.83,2025-04-25 05:38:57
Illuminance,258,2025-04-25 05:38:57
AtmosphericPressure,1009.092,2025-04-25 05:38:57
Noise,54.64,2025-04-25 05:38:57
eTVOC,178,2025-04-25 05:38:57
eCO2,1509,2025-04-25 05:38:57
DiscomfortIndex,83.41,2025-04-25 05:38:57
HeatstrokeRiskLevel,28.41,2025-04-25 05:38:57
temperature,25.98,2025-04-25 05:38:58
Humidity,52.81,2025-04-25 05:38:58
Illuminance,255,2025-04-25 05:38:58
AtmosphericPressure,1009.096,2025-04-25 05:38:58
Noise,69.67,2025-04-25 05:38:58
eTVOC,181,2025-04-25 05:38:58
eCO2,1514,2025-04-25 05:38:58
DiscomfortIndex,83.39,2025-04-25 05:38:58
HeatstrokeRiskLevel,28.39,2025-04-25 05:38:58
temperature,25.98,2025-04-25 05:38:59
Humidity,52.81,2025-04-25 05:38:59
Illuminance,255,2025-04-25 05:38:59
AtmosphericPressure,1009.096,2025-04-25 05:38:59
Noise,69.67,2025-04-25 05:38:59
eTVOC,181,2025-04-25 05:38:59
eCO2,1514,2025-04-25 05:38:59
DiscomfortIndex,83.39,2025-04-25 05:38:59
HeatstrokeRiskLevel,28.39,2025-04-25 05:38:59
temperature,25.98,2025-04-25 05:39:00
Humidity,52.81,2025-04-25 05:39:00
Illuminance,255,2025-04-25 05:39:00
AtmosphericPressure,1009.096,2025-04-25 05:39:00
Noise,69.67,2025-04-25 05:39:00
eTVOC,181,2025-04-25 05:39:00
eCO2,1514,2025-04-25 05:39:00
DiscomfortIndex,83.39,2025-04-25 05:39:00
HeatstrokeRiskLevel,28.39,2025-04-25 05:39:00
temperature,25.97,2025-04-25 05:39:01
Humidity,52.86,2025-04-25 05:39:01
Illuminance,253,2025-04-25 05:39:01
AtmosphericPressure,1009.093,2025-04-25 05:39:01
Noise,56.21,2025-04-25 05:39:01
eTVOC,176,2025-04-25 05:39:01
eCO2,1506,2025-04-25 05:39:01
DiscomfortIndex,83.39,2025-04-25 05:39:01
HeatstrokeRiskLevel,28.38,2025-04-25 05:39:01
temperature,25.97,2025-04-25 05:39:02
Humidity,52.86,2025-04-25 05:39:02
Illuminance,253,2025-04-25 05:39:02
AtmosphericPressure,1009.093,2025-04-25 05:39:02
Noise,56.21,2025-04-25 05:39:02
eTVOC,176,2025-04-25 05:39:02
eCO2,1506,2025-04-25 05:39:02
DiscomfortIndex,83.39,2025-04-25 05:39:02
HeatstrokeRiskLevel,28.38,2025-04-25 05:39:02
temperature,25.97,2025-04-25 05:39:03
Humidity,52.86,2025-04-25 05:39:03
Illuminance,253,2025-04-25 05:39:03
AtmosphericPressure,1009.093,2025-04-25 05:39:03
Noise,56.21,2025-04-25 05:39:03
eTVOC,176,2025-04-25 05:39:03
eCO2,1506,2025-04-25 05:39:03
DiscomfortIndex,83.39,2025-04-25 05:39:03
HeatstrokeRiskLevel,28.38,2025-04-25 05:39:03
temperature,25.95,2025-04-25 05:39:04
Humidity,52.97,2025-04-25 05:39:04
Illuminance,262,2025-04-25 05:39:04
AtmosphericPressure,1009.084,2025-04-25 05:39:04
Noise,69.4,2025-04-25 05:39:04
eTVOC,178,2025-04-25 05:39:04
eCO2,1509,2025-04-25 05:39:04
DiscomfortIndex,83.44,2025-04-25 05:39:04
HeatstrokeRiskLevel,28.41,2025-04-25 05:39:04
temperature,25.95,2025-04-25 05:39:05
Humidity,52.97,2025-04-25 05:39:05
Illuminance,262,2025-04-25 05:39:05
AtmosphericPressure,1009.084,2025-04-25 05:39:05
Noise,69.4,2025-04-25 05:39:05
eTVOC,178,2025-04-25 05:39:05
eCO2,1509,2025-04-25 05:39:05
DiscomfortIndex,83.44,2025-04-25 05:39:05
HeatstrokeRiskLevel,28.41,2025-04-25 05:39:05
